1018.7,1807.8,2882.4,3735.6,4596.1
970.46,1813.2,3496.5,4022.4,4583.6
878.66,1773.3,2831.9,3789,4484.1
906,1696.7,2206.9,3542.1,4512.1
909.95,1528.4,2138,3254.4,4184.1
914,1460.9,2317.2,3168.6,3840.1
967.82,2043.7,2709.4,3117,3897.6
861.05,1977.3,2350.2,3174.8,4138.9
698.95,1597.8,2388.2,3234,4200.9
722.26,1933.1,2914.8,3573.7,4433.1
742,2092.4,2906.3,3991.6,4854.7
753.85,2072.4,2574.9,3642.3,4536.4
715.64,1871.6,2681.6,3319.1,4248.6
783.49,1777.5,2650.9,3294.7,4293.8
801.82,1927.1,2622.8,3387.6,4207.7
691.54,1847.5,3040.1,3682.8,4307.5
688,1763.5,2945.6,3657.1,4560.8
733.92,1953.7,2837.3,3473.7,4691.5
757.79,1949.4,2776.5,3513.7,4688
788.31,1933.8,2820,3640.7,4726.5
828.69,1937.1,3290.5,3976.1,4811.9
751.28,1961.1,3240.7,4085.2,4631.4
765.03,1964.8,2695,3820.6,4290.4
844,1992.3,2733.5,3697,4361.2
812.89,1992.7,2788.8,3578,4458.1
495.61,1402.3,2365.1,3226.9,4367
534.8,1337.4,2458.1,3349.4,4313.2
859.69,1902.2,2865.4,3627.7,4516.2
755.13,1918.2,2776.7,3275.2,4256.6
772.13,1909.9,2844,3264.4,4243.4
898.31,1925.8,2940.3,3379.2,4445.7
933.26,1938,3200.9,3718.1,4464.4
933.74,1930.1,3255.4,4247.9,4812.8
871.54,1952.6,3326.2,4429.9,4789
839.85,1972.6,3276.5,4109.7,4599.9
797.69,1914.6,2888.3,3881.1,4583.8
834.83,1886.3,2718.8,3934.2,4677.1
894.94,1913.9,2965.1,3859.7,4744
797.28,1937.3,3242,3971.4,4906
734,1987.6,3122.5,4124.7,4917.9
722.64,1892.2,3019.3,4113.4,4875.7
761.36,1835,3092.8,4159,4820
1156.2,1964.4,2940.1,4176.3,4843.2
1176.2,1807.6,2861.8,3997.4,4878.9
832.05,1558.9,2487,3261.9,4319.7
704.56,1577.3,1961,3006.7,4123.6
558.74,1798.9,2265.6,3544.6,4523
758.72,1949.7,2585.9,3668.3,4565.5
1057.6,1902.8,2528.3,3536.8,4609
835.76,1794,3062.9,3858.1,4640.1
677.64,1857.6,3552.6,4204.2,4672
774.18,1988.7,3422,4178.6,4768.3
560.51,2057.4,3074.9,4103.4,4716.9
367.39,1955.4,2657.3,3972.3,4563
366.61,1414.8,2296.8,3486.9,4231.2
498.73,1463.9,2219.6,3435.6,4191.7
513.13,1358,2137,3435.6,4245.2
445.21,1337.1,2356.6,3427.4,4358.3
495.66,1805.2,2952.5,3890.9,4633.9
604.47,1719.4,3127.3,3901.5,4631.1
784.28,1660.8,3258.1,3918.3,4742
766.97,1648.3,3250,3755.7,4823
505.31,1752.9,2937.5,3420.5,4269.6
451.83,1893.9,2624.9,3219,3987.3
481.74,1450.9,2314.5,3303.4,4324.8
425.7,918.5,2010.8,3592.8,4292.7
